                           TOPIK I Vocabulary（Beginner）


No.          한글               English         No.          한글                English
1     가게          store, shop                 41    감사하다        thank, appreciate
2     가격          price                       42    감사합니다       thank you
3     가구          furniture                   43    감자          potato
4     가깝다         close                       44    감자탕         Gamjatang, potato soup
5     가끔          sometimes                   45    갑자기         suddenly
6     가다          go                          46    값           price
7     가르치다        teach                       47    강           river
8     가방          bag                         48    강아지         puppy
9     가볍다         light                       49    강좌          lecture
10    가수          singer                      50    갖다          have
11    가슴          chest, breast               51    같다          same
12    가요          song                        52    같이          together
13    가운데         middle                      53    개           dog, ~ piece(s)
14    가위          scissors                    54    개나리         forsythia
15    가을          autumn, fall                55    개인          individual
16    가장          most                        56    거기          there
17    가져가다        take away                   57    거리          street
18    가져오다        bring                       58    거실          living room
19    가족          family                      59    거울          mirror
20    가지          branch                      60    거의          almost, nearly
21    가지다         have                        61    거짓말         lie
22    각           each                        62    걱정          anxiety, concern
23    간           while                       63    걱정하다        worry
24    간단하다        simple, easy                64    건강          health
25    간단히         simply                      65    건강하다        be healthy
26    간식          snack                       66    건너가다        cross (a road)
27    간장          soy sauce                   67    건너다         cross over
28    간호사         nurse                       68    건너편         other side, opposite side
29    갈비          Galvi, spareribs            69    건물          building
30    갈비탕         Galbitang, spareribs soup   70    건배          cheers, toast
31    갈색          brown                       71    걷다          walk
32    갈아타다        transfer                    72    걸다          bet, call
33    감           persimmon                   73    걸리다         get caught, take (time)
34    감기          cold                        74    걸어가다        walk (go)
35    감기약         cold medicine               75    걸어오다        walk (come)
36    감다          close ~ (eyes)              76    검은색         black
37    감동          sensation                   77    것           that, thing, it
38    감동하다        be impressed                78    게임          game
39    감사          thank                       79    겨울          winter
40    감사드립니다      thank you                   80    겨울방학        winter vacation
                           TOPIK I Vocabulary（Beginner）


No.          한글               English           No.          한글                English
81    결과          result                        121   골목          alley
82    결정          decision                      122   골프          golf
83    결정하다        decide                        123   곱다          beautiful
84    결혼          marriage                      124   곳           place
85    결혼식         wedding ceremony              125   공           ball
86    결혼하다        get married                   126   공간          space
87    경기          competition, game             127   공기          air
88    경기장         stadium, arena                128   공무원         public official
89    경복궁         Gyeongbokgung                 129   공부          study
90    경주          Gyeongju                      130   공부하다        study
91    경찰          police                        131   공연          show, public performance
92    경찰관         police officer                132   공원          park
93    경찰서         police office                 133   공중전화        payphone, public phone
94    경치          view, landscape               134   공짜          free
95    경험          experience                    135   공책          notebook, note
96    계단          stairs                        136   공항          airport
97    계란          egg                           137   공휴일         public holiday
98    계산하다        calculate                     138   과           division
99    계속          continue                      139   과거          past
100   계시다         be, exist (honorific form)    140   과일          fruit
101   계절          season                        141   과자          snack
102   계획          plan                          142   과학          science
103   고기          meat                          143   관계          relation
104   고등학교        high school                   144   관광하다        travel, sightsee
105   고등학생        high school student           145   관심          attention, interest
106   고르다         choose                        146   광고          advertisement
107   고마웠습니다      Thank you (past tense)        147   괜찮다         be okay
108   고맙다         thank                         148   괜찮습니다       It's fine.
109   고맙습니다       Thank you                     149   교과서         textbook
110   고모          paternal aunt                 150   교수          professor
111   고모부         paternal uncle                151   교실          classroom
112   고속버스        express bus                   152   교체          substitute, change
113   고양이         cat                           153   교통          traffic
114   고장          broken, malfunction           154   교통사고        traffic accident
115   고추          red pepper                    155   교회          church
116   고추장         Kochujang, red pepper paste   156   구           9
117   고치다         fix                           157   구경하다        take a look
118   고프다         hungry                        158   구두          shoes
119   고향          hometown                      159   구름          cloud
120   곧           soon                          160   구십          90
                           TOPIK I Vocabulary（Beginner）


No.          한글                 English                 No.          한글               English
161   구월          September                             201   그리고         and
162   구하다         save, seek, get                       202   그리다         draw
163   국           soup                                  203   그림          drawing, picture
164   국내          domestic                              204   그만          stop, finish
165   국립          nationalestablished, state            205   그분          his, the person
166   국수          noodle                                206   그저께         day before yesterday
167   국어          Korean language                       207   그중          among them
168   국적          nationality, country of citizenship   208   그쪽          there, the person
169   국제          international                         209   그치다         stop, end, cease
170   군인          soldier, military personnel           210   극장          theater, cinema
171   굽다          bake                                  211   근처          nearby, neighborhood
172   권           ~ book(s)                             212   글           post, sentence, character
173   귀           ear                                   213   글쎄요         I do not know., well, I guess ~
174   귀엽다         cute                                  214   금방          soon, a little while ago
175   규칙          rule                                  215   금연          no smoking
176   귤           mandarin orange                       216   금요일         Friday
177   그           it                                    217   금주          abstinence, temperance
178   그거          it                                    218   급           class, grade
179   그것          it                                    219   급하다         hurry, urgent
180   그곳          there                                 220   기간          term, period
181   그날          that day                              221   기다리다        wait
182   그냥          just, as it is                        222   기르다         cultivate, grow
